finding_id,category,feature_or_pattern,evidence,train_behavior,test_behavior,target_relationship,modeling_relevance,risk_level,recommended_action
F01,generator fingerprint,daily_screen_time_hours >= social_media_hours + gaming_hours + work_study_hours,"0/421,427 train and 0/182,287 test fully-observed rows violate the inequality (outputs/generator_constraints.csv row 1); residual (screen_residual) is continuous on a clean 0.01 grid, right-skewed, mean 1.34h, spans 0-11.53h, 1022 distinct values.",Constraint holds exactly (0 violations); residual mean 1.343h (train).,"Constraint holds exactly (0 violations); residual mean 1.339h, KS test vs train residual p=0.39 (no shift).","Residual mean 0.637h (label 0) vs 1.632h (label 1); Spearman corr(exact residual value, target rate) = 0.75 among sufficiently-supported values -- smooth, monotonic, not staircase-abrupt.","Already captured: screen_residual is the accepted Build 4 feature (E006, +0.00062 CV vs E004 XGBoost control, transfers to CatBoost). No further exploitation identified beyond the existing continuous feature.","none (accepted, in production feature set)",No change. Keep screen_residual as-is; this finding explains the mechanism behind an already-validated feature rather than proposing a new one.
F02,generator fingerprint,sleep_hours + daily_screen_time_hours clipped near 20h,"Sum never exceeds 24h (0 violations in both splits) but empirically caps at 20.00-20.01h with a sharp frequency spike exactly at 20.00 (14,132/559,350 = 2.53% of train complete rows vs a few hundred at each neighboring 0.01 step); sleep_hours and daily_screen_time_hours are nearly uncorrelated (r=0.028), so this looks like independent draws with a post-hoc joint clip/reject, not a real 24h day-budget constraint (outputs/generator_constraints.csv row 4).",2.57% of complete rows sit at/above the 19.995h cap.,2.58% of complete rows sit at/above the 19.995h cap -- matches train.,"Target rate at the cap (0.9997) is statistically indistinguishable from rows just below it, 19.5-19.99h (0.9995) -- the effect is fully explained by daily_screen_time_hours already being near its max at the cap, not an independent signal from the clip itself.","Real generator artifact, but redundant with daily_screen_time_hours, which XGBoost/CatBoost already use directly and continuously. An 'at-cap' flag would add no information a tree model doesn't already have from the raw value.","low (understood, not proposed for use)",Reject as a feature. Record as a documented generator fingerprint only.
F03,ordinary predictive relationship,rounded daily_screen_time_hours (nearest 0.5h) vs target rate,"Target rate rises near-monotonically from 0.21 (1.0h bin, n=889) to 1.00 (13-14h bins, n=389-3215) across the 0.5h-rounded grid (28 bins, all support>=364) -- see scratch analysis, not yet a committed artifact beyond this file.","Smooth, monotonic staircase from ~21% to ~100% target rate as screen time rises.","Not separately re-verified (no target available in test); train/test predictor distribution match was already established in Build 1 (KS tests, docs/COMPETITION_NOTES.md).","Very strong and very smooth -- consistent with the target label having been generated substantially as a (likely logistic/threshold) function of total screen time, which is why a single-feature XGBoost model already gets most of the way to the 0.964 CV ceiling.","This is the dataset's dominant real signal (known since Build 1), not a hidden artifact to exploit further. Confirms why screen-time features dominate; no new actionable feature -- gradient-boosted trees already model this relationship natively and optimally as a continuous split sequence.",none,"No action. Documented for interpretability, not proposed as a new feature."
F04,ordinary predictive relationship,"stress_level, academic_work_impact, gender, and their 3-way combination vs target","Univariate target-rate deltas from the global rate (0.7094) are all under 1.4 percentage points (gender Male +1.4pp, stress_level/academic_work_impact <0.4pp); the 18-cell 3-way combination (stress_level x academic_work_impact x gender) has near-uniform cell sizes (~29.6k-36.3k) and target rates in a narrow 0.698-0.727 band with no visible interaction structure.","Flat, weak relationships across all cells; no cell is an outlier.",Not separately checked (no target); Build 1 found no train/test distribution shift on these columns.,Weak to negligible for all three categoricals individually and jointly.,Confirms these categoricals carry little signal (consistent with Build 1 Section 8); no interaction-feature opportunity found.,none,No action.
F05,duplicate/repeated pattern,"4-column screen-time predictor vector (social_media_hours, gaming_hours, work_study_hours, daily_screen_time_hours) at full (0.01) precision","421,384 unique combinations out of 421,427 complete rows; largest repeat group size is 3. Effectively no repetition at native precision.",Max repeat count 3; mean combination frequency 1.0001.,"Not separately re-run (train-only check, sufficient to answer the question -- values are continuous-like on a 0.01 grid in both splits per F01/quantization audit).","Not meaningfully assessable -- sample sizes within repeat groups are 2-3 rows, too small to distinguish signal from noise.",No repeated-profile structure exists at native precision to exploit (rules out a lookup/template-reuse hypothesis for this feature family).,none,No action. Rules out Bucket 3 (lookup-like) techniques on this feature family.
F06,near-duplicate/possible source-data imprint,4-column screen-time predictor vector rounded to 0.1h,"321,821 groups from 421,427 rows (mean group size 1.31, max 21); target rate within groups of size>=5 ranges from 0.0 to 1.0, i.e. as wide as the whole population.","Rounding creates coincidental small clusters (up to 21 rows), not meaningful repeated 'templates'.",Not separately checked.,"No consistency within rounded-profile groups -- the spread (0.0-1.0) shows these are coincidental collisions of a near-continuous distribution, not evidence of a small underlying template library.",A profile-lookup or nearest-neighbor-target feature on this rounding would be pure overfitting: group target means are driven by 2-21 row samples with no demonstrated consistency.,"high if implemented (Bucket 3, target-derived, overfitting risk) -- not implemented","Reject. Do not pursue near-duplicate target lookup on this feature family; evidence argues against, not for, a reusable source template."
F07,ordinary predictive relationship,"age, notifications_per_day, app_opens_per_day value frequency","Train/test value-frequency (normalized) Pearson correlation is 0.995-0.999 for all three -- frequencies are stable across splits, as expected from matching generator distributions. Spearman corr(frequency, target rate) is weak (age -0.24, notifications_per_day 0.01, app_opens_per_day 0.09).","Frequency distributions reflect each column's underlying (near-uniform for age, right-skewed count-like for the other two) generation distribution.","Matches train closely (see correlations above) -- consistent with Build 1's no-shift finding, not evidence of a distinct test-only distribution.","Any frequency/target correlation is fully explained by the underlying value itself (e.g. age's own weak target relationship), not by frequency as an independent signal.",No case for a frequency-encoded feature on these columns -- frequency carries no information beyond the raw value.,none,Reject frequency encoding for these columns.
F08,ordinary predictive relationship / prior finding reconfirmed,missingness pattern (12-column missing bitmask) and row_missing_count,"2,925 unique missingness patterns in train (2,522 in test) out of a ~2^12=4096 combinatorial space -- consistent with near-independent per-column missingness (Build 1, Section 12, pairwise |r|<0.05). Target rate by row_missing_count stays in 0.696-0.719 for counts 0-8 (support 477-269,185); only counts >=9 (support <=136) drift further, on tiny samples.",Top 15 patterns account for the large majority of rows; target rate across them is flat (0.696-0.716) with no pattern standing out at meaningful support.,14 of the top 15 train patterns also appear in test's top 15 -- consistent pattern distribution across splits.,"Flat / no meaningful relationship, reconfirming Build 1's missingness finding at the full joint-pattern level, not just per-column.",No case for a missingness-pattern feature (mask encoding or pattern-count). Confirms and extends the existing Build 1 decision.,none,"No action. Missing-pattern encoding remains rejected, now with joint-pattern evidence in addition to Build 1's per-column evidence."
F09,ordinary predictive relationship / prior finding reconfirmed,id order vs screen_residual and vs row_missing_count,"screen_residual mean across 20 equal-sized id bins stays in a narrow 1.317-1.352 band; row_missing_count mean across 20 id bins stays in a narrow 1.243-1.272 band -- both flat, no trend, extending Build 1's id-drift check (which covered raw feature means/missingness/target rate) to the two Build 4/5-relevant derived quantities.",No drift across the id range for either quantity.,"Not applicable (target-adjacent quantities not computable the same way on test without labels; id itself already shown contiguous and non-overlapping, Build 1 Section 13).","N/A -- this checks generator/process drift, not a target relationship.",No evidence of batching or generator drift across id for the residual or missingness structure. Reconfirms Build 1's id finding; plain row-level StratifiedKFold remains appropriate.,none,No action.
F10,"possible source-data imprint (assessed, weak)","overall repeated-profile / template-reuse evidence across F05, F06, and Build 1 Section 5","No predictor-vector duplicates within train or test at native precision (Build 1); the 4-column screen-time subset is 99.99% unique at native precision (F05); coarser 0.1h rounding produces only coincidental small clusters with no target consistency (F06); missingness has ~2,925 of a possible ~4,096 patterns realized, consistent with independent per-column draws, not a small reused template set (F08).",High uniqueness and near-independence throughout -- consistent with a large or fully continuous parametric generator.,Same pattern in every check that was run on both splits.,"N/A -- this is a structural assessment, not a target relationship.","No evidence supports reconstructing or exploiting a smaller latent source dataset. Any Bucket 3 (lookup-like/profile-target-propagation) technique is not supported by the evidence and would function as overfitting, not signal extraction.","n/a (assessment, not a technique)",Formal source-data-fingerprint verdict: weak evidence. See docs/DECISIONS.md and CONTEXT.md.
