trial_or_experiment_id,stage,formal_experiment,learning_rate,n_estimators,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,cv_mean,cv_std,delta_vs_control,folds_improved,mean_best_iteration,runtime_minutes,decision
screen-p1-baseline,phase1_screening,,0.1,800,6,1,0.9,0.9,0.0,1.0,0.0,,,,,799.0,2.1,"single-fold screen only (fold 1); reproduces E006 fold 1 AUC 0.96374 exactly, confirming reconstruction and screening harness are correct"
screen-p1-lr0.05,phase1_screening,,0.05,2000,6,1,0.9,0.9,0.0,1.0,0.0,,,,,1994.0,7.2,single-fold screen; fold_auc=0.96417 (+0.00043 vs screen-p1-baseline fold 1); shortlisted for full CV as E010
screen-p1-lr0.07,phase1_screening,,0.07,1400,6,1,0.9,0.9,0.0,1.0,0.0,,,,,1385.0,4.0,"single-fold screen; fold_auc=0.96414 (+0.00040 vs baseline); cheaper than lr0.05 but not meaningfully different (within single-fold noise) - not promoted, dominated by shortlisting lr0.05 instead"
screen-p1-lr0.03,phase1_screening,,0.03,3200,6,1,0.9,0.9,0.0,1.0,0.0,,,,,3199.0,9.1,"single-fold screen; fold_auc=0.96420 (+0.00046 vs baseline) for 2.3x screen-p1-lr0.05's runtime; diminishing returns confirmed - not promoted, gain too small relative to added compute"
E010,phase1_full_cv,E010,0.05,2500,6,1,0.9,0.9,0.0,1.0,0.0,0.96499,0.00051,0.00055,5.0,2390.6,45.4,"accepted; full 5-fold CV, 5/5 folds improved vs E006 [+0.00042,+0.00062], no fold hit the 2500 ceiling (genuine convergence); becomes the tuning control entering Phase 2"
screen-p2-depth5,phase2_screening,,0.05,2500,5,1,0.9,0.9,0.0,1.0,0.0,,,,,2498.0,8.2,single-fold screen vs E010 fold-1 (0.96429); fold_auc=0.96414 (-0.00015); shallower trees hurt - not promoted
screen-p2-depth7,phase2_screening,,0.05,2500,7,1,0.9,0.9,0.0,1.0,0.0,,,,,1685.0,6.0,single-fold screen vs E010 fold-1 (0.96429); fold_auc=0.96402 (-0.00027); deeper trees hurt more - not promoted
screen-p2-mcw3,phase2_screening,,0.05,2500,6,3,0.9,0.9,0.0,1.0,0.0,,,,,2166.0,7.4,"single-fold screen vs E010 fold-1 (0.96429); fold_auc=0.96436 (+0.00007); within single-fold noise, too small to justify full CV - not promoted"
screen-p3-sub0.8col0.8,phase3_screening,,0.05,2500,6,1,0.8,0.8,0.0,1.0,0.0,,,,,2449.0,8.1,single-fold screen vs E010 fold-1 (0.96429); fold_auc=0.96428 (-0.00001); no material change - not promoted
screen-p3-sub1.0col1.0,phase3_screening,,0.05,2500,6,1,1.0,1.0,0.0,1.0,0.0,,,,,2207.0,6.1,single-fold screen vs E010 fold-1 (0.96429); fold_auc=0.96401 (-0.00028); removing subsampling hurts - not promoted
screen-p3-sub0.7col0.9,phase3_screening,,0.05,2500,6,1,0.7,0.9,0.0,1.0,0.0,,,,,2268.0,5.9,single-fold screen vs E010 fold-1 (0.96429); fold_auc=0.96416 (-0.00013); more aggressive row subsampling hurts slightly - not promoted
screen-p4-alpha0.1,phase4_screening,,0.05,2500,6,1,0.9,0.9,0.1,1.0,0.0,,,,,2427.0,7.6,single-fold screen vs E010 fold-1 (0.96429); fold_auc=0.96430 (+0.00001); within single-fold noise - not promoted
screen-p4-lambda2,phase4_screening,,0.05,2500,6,1,0.9,0.9,0.0,2.0,0.0,,,,,2268.0,6.4,single-fold screen vs E010 fold-1 (0.96429); fold_auc=0.96424 (-0.00005); within single-fold noise - not promoted
screen-p4-lambda5,phase4_screening,,0.05,2500,6,1,0.9,0.9,0.0,5.0,0.0,,,,,2485.0,7.9,"single-fold screen vs E010 fold-1 (0.96429); fold_auc=0.96431 (+0.00002); within single-fold noise - not promoted; Phases 2/3/4 all found no gain over E010, triggering the Build 6 stopping rule - joint refinement skipped, E010 adopted as final tuned candidate"
