experiment_id,date,model,feature_set,hypothesis,preprocessing,cv_method,seed,parameters,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,cv_mean,cv_std,public_lb,submission_file,conclusion,next_action
E001,2026-08-17,LogisticRegression,raw_predictors,A linear baseline on imputed/standardized/one-hot predictors should score well given Build 1's finding that target signal is concentrated in a few continuous screen-time features.,median imputation + StandardScaler (numeric); explicit Missing category + OneHotEncoder (categorical); id excluded,"StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,"LogisticRegression(max_iter=1000, random_state=42)",0.9104,0.91082,0.91193,0.91267,0.91161,0.91149,0.00081,0.91358,deliverables/E001_submission.csv,"Stable, credible linear baseline (mean 0.9115, std 0.0008). Confirms Build 1's leakage/shift findings translate into a well-behaved CV estimate. Candidate for comparison target for E002-E005 and Build 3 strong-model benchmarks.","Run E002 (missing indicators), E003 (screen-time component features), E004 (ordinal stress_level), E005 (non-linear sanity check) against the same harness before moving to Build 3."
E002,2026-08-17,CatBoostClassifier,raw_predictors,"CatBoost should substantially outperform the linear baseline given Build 1's nonlinear screen-time/target relationship, and its native categorical/missing handling may suit this dataset well.","raw numeric predictors (missing values preserved, native handling); categorical predictors: explicit Missing category, category dtype (native handling); id excluded; CatBoost cat_features=native","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,"CatBoostClassifier(loss_function=Logloss, eval_metric=AUC, iterations=800, learning_rate=0.1, depth=6, l2_leaf_reg=3.0, early_stopping_rounds=50, random_seed=42)",0.95982,0.9601,0.96057,0.9613,0.9602,0.9604,0.00051,0.96151,deliverables/E002_submission.csv,"CV mean 0.96040 vs E001 0.91149 (delta +0.04891). best_iterations=[799, 799, 799, 799, 799], elapsed=2663s.",Compare against E003/E004; see Section 9-10 for model selection.
E003,2026-08-17,LGBMClassifier,raw_predictors,LightGBM should capture the same nonlinear structure efficiently and may match or exceed CatBoost's ranking performance on this dataset.,"raw numeric predictors (missing values preserved, native handling); categorical predictors: explicit Missing category, category dtype (native handling); id excluded; LightGBM categorical_feature=native","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,"LGBMClassifier(objective=binary, metric=auc, n_estimators=800, learning_rate=0.1, num_leaves=31, min_child_samples=20, feature_fraction=0.9, bagging_fraction=0.9, bagging_freq=1, early_stopping_rounds=50, random_state=42)",0.96036,0.95927,0.96133,0.96235,0.96201,0.96106,0.00113,,,"CV mean 0.96106 vs E001 0.91149 (delta +0.04957). best_iterations=[388, 190, 322, 439, 634], elapsed=142s.",Compare against E002/E004; see Section 9-10 for model selection.
E004,2026-08-17,XGBClassifier,raw_predictors,XGBoost's regularization and tree-building behavior may produce different ranking performance from CatBoost and LightGBM.,"raw numeric predictors (missing values preserved, native handling); categorical predictors: explicit Missing category, category dtype (native handling); id excluded; XGBoost enable_categorical=True","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,"XGBClassifier(objective=binary:logistic, eval_metric=auc, n_estimators=800, learning_rate=0.1, max_depth=6, min_child_weight=1, subsample=0.9, colsample_bytree=0.9, reg_lambda=1.0, early_stopping_rounds=50, tree_method=hist, random_state=42)",0.96308,0.96383,0.96403,0.96474,0.96344,0.96382,0.00056,0.96539,deliverables/E004_submission.csv,"CV mean 0.96382 vs E001 0.91149 (delta +0.05233). best_iterations=[799, 794, 799, 794, 794], elapsed=572s.",Compare against E002/E003; see Section 9-10 for model selection.
E005,2026-08-20,XGBClassifier,raw + component_sum,Explicitly providing component_sum may expose the additive screen-time relationship more directly than requiring the tree model to reconstruct repeated additive splits across three separate columns.,"raw numeric predictors (missing values preserved, native handling); categorical predictors: explicit Missing category, category dtype (native handling); id excluded; XGBoost enable_categorical=True","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,"XGBClassifier(objective=binary:logistic, eval_metric=auc, n_estimators=800, learning_rate=0.1, max_depth=6, min_child_weight=1, subsample=0.9, colsample_bytree=0.9, reg_lambda=1.0, early_stopping_rounds=50, tree_method=hist, random_state=42)",0.96329,0.96402,0.96428,0.965,0.96383,0.96408,0.00056,,,"CV mean 0.96408 vs E004 0.96382 (delta +0.00026, 5/5 folds improved, range [+0.00019, +0.00039]). Consistent small improvement across all folds, but shown redundant with screen_residual once both are tested together (see E007).",Compare against E006; superseded by screen_residual alone per E007 combined test — not carried into the final feature set.
E006,2026-08-20,XGBClassifier,raw + screen_residual,The residual may represent screen use not explained by the three component categories; an explicit residual may expose signal expensive for trees to reconstruct via subtraction across correlated columns.,"raw numeric predictors (missing values preserved, native handling); categorical predictors: explicit Missing category, category dtype (native handling); id excluded; XGBoost enable_categorical=True","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,"XGBClassifier(objective=binary:logistic, eval_metric=auc, n_estimators=800, learning_rate=0.1, max_depth=6, min_child_weight=1, subsample=0.9, colsample_bytree=0.9, reg_lambda=1.0, early_stopping_rounds=50, tree_method=hist, random_state=42)",0.96374,0.96438,0.96453,0.96543,0.96416,0.96445,0.00056,0.96608,deliverables/E006_xgb_screen_residual_submission.csv,"CV mean 0.96445 vs E004 0.96382 (delta +0.00062, 5/5 folds improved, range [+0.00050, +0.00072]). Clear, consistent improvement — the strongest engineered feature tested in this build. New best validated XGBoost CV.",Transfer-test on CatBoost (E008); include in final Build 4 feature set.
E007,2026-08-20,XGBClassifier,raw + component_sum + screen_residual,The explicit sum and unexplained remainder may provide complementary representations of the screen-time relationship.,"raw numeric predictors (missing values preserved, native handling); categorical predictors: explicit Missing category, category dtype (native handling); id excluded; XGBoost enable_categorical=True","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,"XGBClassifier(objective=binary:logistic, eval_metric=auc, n_estimators=800, learning_rate=0.1, max_depth=6, min_child_weight=1, subsample=0.9, colsample_bytree=0.9, reg_lambda=1.0, early_stopping_rounds=50, tree_method=hist, random_state=42)",0.96363,0.9644,0.96467,0.9653,0.96417,0.96443,0.00055,,,"CV mean 0.96443, statistically indistinguishable from E006 (0.96445) — component_sum adds nothing once screen_residual is present. Redundant, not included in the final feature set.",Rejected as an addition to screen_residual; component_sum not carried forward.
E008,2026-08-20,CatBoostClassifier,raw + screen_residual,"Transfer test: does screen_residual's XGBoost gain (E006) also improve CatBoost, the secondary control, or is it an XGBoost-specific representation benefit?","raw numeric predictors (missing values preserved, native handling); categorical predictors: explicit Missing category, category dtype (native handling); id excluded; CatBoost cat_features=native","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,"CatBoostClassifier(loss_function=Logloss, eval_metric=AUC, iterations=800, learning_rate=0.1, depth=6, l2_leaf_reg=3.0, early_stopping_rounds=50, random_seed=42)",0.96029,0.96081,0.96108,0.96199,0.96102,0.96104,0.00055,,,"CV mean 0.96104 vs E002 0.96040 (delta +0.00064, 5/5 folds improved, range [+0.00047, +0.00082]). Improvement transfers to CatBoost at a magnitude consistent with the XGBoost gain (Case A: both model families improve) — strong evidence screen_residual carries model-independent information, not an XGBoost-specific artifact.",screen_residual confirmed as the Build 4 accepted feature for both controls.
E009,2026-08-20,XGBClassifier,raw + app_opens_per_day_is_missing,"If app_opens_per_day's missingness carries target information beyond native missing-value routing (the strongest single Build 1 missingness association, p=0.025), an explicit flag should improve CV.","raw numeric predictors (missing values preserved, native handling); categorical predictors: explicit Missing category, category dtype (native handling); id excluded; XGBoost enable_categorical=True","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,"XGBClassifier(objective=binary:logistic, eval_metric=auc, n_estimators=800, learning_rate=0.1, max_depth=6, min_child_weight=1, subsample=0.9, colsample_bytree=0.9, reg_lambda=1.0, early_stopping_rounds=50, tree_method=hist, random_state=42)",0.96311,0.96374,0.96406,0.96469,0.96361,0.96384,0.00052,,,"CV mean 0.96384 vs E004 0.96382 (delta +0.00002, 3/5 folds improved, range [-0.00009, +0.00017]). Mixed-sign fold deltas, magnitude within noise — no consistent improvement. Rejected: native missing-value routing already captures what little signal Build 1 found in this column's missingness.",Rejected — not carried into the final feature set. No further missingness flags tested given this negative result on the strongest Build 1 candidate.
E010,2026-08-21,XGBClassifier,raw + screen_residual,"E006 (and E004 before it) frequently hit or nearly hit the 800-iteration training cap (best_iterations 794-799 in 4/5 E006 folds), suggesting the model was iteration-constrained rather than converged. Lowering learning_rate and raising the iteration ceiling (with the same early_stopping_rounds=50) should let early stopping find a true best_iteration instead of being cut off by the cap, and should therefore improve CV.","raw numeric predictors (missing values preserved, native handling); categorical predictors: explicit Missing category, category dtype (native handling); id excluded; XGBoost enable_categorical=True","StratifiedKFold(n_splits=5, shuffle=True, random_state=42)",42,"XGBClassifier(objective=binary:logistic, eval_metric=auc, n_estimators=2500, learning_rate=0.05, max_depth=6, min_child_weight=1, subsample=0.9, colsample_bytree=0.9, reg_alpha=0.0, reg_lambda=1.0, gamma=0.0, early_stopping_rounds=50, tree_method=hist, random_state=42)",0.96429,0.965,0.96509,0.96585,0.96475,0.96499,0.00051,,deliverables/submission_E010_xgb_tuned.csv,"CV mean 0.96499 vs E006 0.96445 (delta +0.00055, 5/5 folds improved, range [+0.00042, +0.00062]). None of the 5 folds hit the 2500-iteration ceiling (best_iterations 2294-2485, mean 2390.6) -- genuine early-stopping convergence, not truncation, confirming E006 was materially constrained by its 800-iteration cap. Strongest and most consistent Build 6 gain so far; becomes the current tuning control entering Phase 2.","Test tree complexity (max_depth, min_child_weight) against this configuration in Phase 2, screening on a single fold before committing to full CV."
